DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
544.2,1897.7505,521.8398,46.349,3636762.0,188158.9844,0.4702,3,3604259.074757858,184992.72030207995,1888.9663025474479,46.332188387740686,0.4771145582387461
544.35,1950.1143,519.4737,46.2888,3754059.75,188158.9844,0.4375,3,3600194.6277663773,189992.91305797515,1888.7475997220322,46.41782792534222,0.4772464952214736
544.5,1968.0576,518.0292,46.2888,3799134.75,188158.9844,0.4262,3,3596490.340722597,195003.1277601129,1888.6283862233727,46.49894010709339,0.4773159142490408
544.65,1984.5618,525.4709,49.1604,3776786.25,188158.9844,0.4159,3,3593196.259051456,200020.71780051073,1888.6262055436714,46.57777353777543,0.47731186318876684
544.8,1974.3237,537.0573,56.4415,3676511.0,188158.9844,0.4223,3,3590361.1920151925,205043.17177312417,1888.7584389872395,46.656674888234406,0.4772234955499587
544.95,1984.2185,548.7537,65.9561,3616014.0,188158.9844,0.4161,3,3588032.319314203,210068.08793639127,1889.0421712023767,46.73807018522244,0.47704015438923875
545.1,2044.5334,567.8348,67.5387,3600622.5,188158.9844,0.3784,3,3586254.803885243,215093.14635036388,1889.4940551821442,46.82444501830666,0.47675145650230843
545.25,2055.3286,566.8513,67.5387,3625920.75,188158.9844,0.3717,3,3585071.414226196,220116.07902758304,1890.1301777794602,46.918323812605585,0.4763473762507239
545.4,2047.6221,555.2444,66.1885,3688060.0,188158.9844,0.3765,3,3584522.159532397,225134.63845921718,1890.9659267939483,47.02224832697862,0.47581832836545723
545.55,2038.2754,541.1078,62.0631,3767255.25,188158.9844,0.3823,3,3584643.940854448,230146.56489656764,1892.0158606911705,47.13875554695391,0.475155249067598
545.7,2011.1628,531.0873,57.8931,3786880.25,188158.9844,0.3993,3,3585470.2213822072,235149.5527826803,1893.2935820091866,47.270355150023356,0.47434967485060026
545.85,1997.9219,534.1998,55.7628,3740182.25,188158.9844,0.4076,3,3587030.7188249594,240141.21673934525,1894.811615492696,47.41950672786368,0.4733938182780644
546.0,1948.7059,544.7166,53.562,3578348.0,188158.9844,0.4383,3,3589351.1226945883,245119.0575211271,1896.581291971367,47.58859695547284,0.4722806401661422
546.15,1872.9183,550.6827,51.018,3401323.75,188158.9844,0.4857,3,3592452.839108347,250080.42835019686,1898.612638966483,47.7799169010678,0.4710039175402001
