DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label
544.2,1897.7505,521.8398,46.349,3636762.0,188158.9844,0.4702,3
544.35,1950.1143,519.4737,46.2888,3754059.75,188158.9844,0.4375,3
544.5,1968.0576,518.0292,46.2888,3799134.75,188158.9844,0.4262,3
544.65,1984.5618,525.4709,49.1604,3776786.25,188158.9844,0.4159,3
544.8,1974.3237,537.0573,56.4415,3676511.0,188158.9844,0.4223,3
544.95,1984.2185,548.7537,65.9561,3616014.0,188158.9844,0.4161,3
545.1,2044.5334,567.8348,67.5387,3600622.5,188158.9844,0.3784,3
545.25,2055.3286,566.8513,67.5387,3625920.75,188158.9844,0.3717,3
545.4,2047.6221,555.2444,66.1885,3688060.0,188158.9844,0.3765,3
545.55,2038.2754,541.1078,62.0631,3767255.25,188158.9844,0.3823,3
545.7,2011.1628,531.0873,57.8931,3786880.25,188158.9844,0.3993,3
545.85,1997.9219,534.1998,55.7628,3740182.25,188158.9844,0.4076,3
546.0,1948.7059,544.7166,53.562,3578348.0,188158.9844,0.4383,3
546.15,1872.9183,550.6827,51.018,3401323.75,188158.9844,0.4857,3
546.3,1855.9817,548.2034,47.8811,3385667.5,188158.9844,0.4963,3
546.45,1890.2886,542.1943,44.8833,3486699.5,188158.9844,0.4748,3
546.6,1934.7727,531.8121,41.4343,3638946.5,240449.2188,0.4471,3
546.75,1935.2428,516.0869,34.0049,3750522.25,308317.1875,0.4467,3
546.9,1896.488,509.9723,30.6385,3718821.0,331117.25,0.4709,3
547.05,1827.863,513.8607,30.6385,3557695.75,331117.25,0.5138,3
547.2,1779.1509,519.6772,32.3194,3423812.0,331117.25,0.5442,3
547.35,1740.3098,530.717,39.0035,3280407.0,331117.25,0.5685,3
547.5,1724.7687,544.0891,46.2941,3170364.5,331117.25,0.5783,3
547.65,1747.8846,545.0869,52.3425,3207039.0,331117.25,0.5638,3
547.8,1828.7393,533.8246,57.0732,3427847.5,331117.25,0.5133,3
547.95,1936.8506,520.8217,58.7551,3720459.0,331117.25,0.4457,3
548.1,1993.1176,506.8183,58.7551,3933862.5,331117.25,0.4105,3
548.25,2000.8184,496.9668,58.214,4026118.25,331117.25,0.4057,3
548.4,1988.119,497.2486,57.6434,3998460.0,331117.25,0.4137,3
548.55,1949.624,507.5767,57.6434,3843032.25,331117.25,0.4377,3
548.7,1898.25,524.5233,58.7453,3620698.75,331117.25,0.4699,3
548.85,1876.7493,541.2097,60.2823,3468307.5,331117.25,0.4833,3
549.0,1902.422,547.7555,60.4659,3473527.75,331117.25,0.4672,3
549.15,1955.0929,539.6057,60.4659,3624017.0,331117.25,0.4343,3
549.3,2012.5509,525.9037,60.1914,3829066.5,331117.25,0.3984,3
549.45,2072.1038,506.6518,59.5754,4092282.75,331117.25,0.3612,3
549.6,2122.6548,495.9673,59.2881,4279851.5,331117.25,0.3296,3
549.75,2113.7673,501.9692,59.267,4211941.5,331117.25,0.3351,3
549.9,2090.7214,517.5947,59.2771,4040942.0,331117.25,0.3495,3
550.05,2066.0471,535.9671,59.0925,3855829.5,331117.25,0.3649,3
550.2,2050.8438,551.6367,59.0054,3718214.25,331117.25,0.3745,3
550.35,2041.5547,556.722,60.1021,3667566.75,333719.875,0.3803,3
550.5,2047.2344,543.3686,60.2175,3768223.0,349325.4375,0.3767,3
550.65,2056.0476,527.2798,61.2699,3900920.0,375154.8125,0.3712,3
550.8,2077.5942,508.5991,65.2419,4085239.5,375154.8125,0.3577,3
550.95,2094.3225,503.4454,67.2469,4160098.5,375154.8125,0.3473,3
551.1,2101.4851,510.2529,68.2777,4118529.75,375154.8125,0.3428,3
551.25,2100.2034,512.1694,71.0563,4100595.25,375154.8125,0.3436,3
551.4,2115.157,515.9915,71.0563,4099388.75,375154.8125,0.3343,3
551.55,2125.3618,525.9164,70.8493,4041275.0,375154.8125,0.3279,3
551.7,2140.1323,531.0176,69.505,4030253.5,375154.8125,0.3186,3
551.85,2147.4365,529.7335,69.505,4053812.75,375154.8125,0.3141,3
552.0,2164.2327,528.1129,69.7549,4098159.0,375154.8125,0.3036,3
552.15,2170.6572,519.4837,72.5158,4178551.5,375154.8125,0.2996,3
552.3,2165.9512,512.2427,74.1217,4228398.5,375154.8125,0.3025,3
552.45,2137.0732,515.5532,74.1261,4145206.0,375154.8125,0.3206,3
552.6,2141.2241,517.9475,74.2312,4134060.5,375154.8125,0.318,3
552.75,2142.1138,521.1456,74.2312,4110394.5,375154.8125,0.3174,3
552.9,2144.2002,519.4823,74.2312,4127571.25,375154.8125,0.3161,3
553.05,2155.2275,512.2355,77.031,4207501.5,375154.8125,0.3092,3
553.2,2150.9192,507.3442,78.4515,4239573.5,375154.8125,0.3119,3
553.35,2135.3418,507.8511,78.4896,4204663.5,375154.8125,0.3217,3
553.5,2114.6216,511.0013,80.0716,4138214.5,375154.8125,0.3346,3
553.65,2096.8181,512.8579,80.16,4088509.0,375154.8125,0.3458,3
553.8,2082.6218,515.4411,80.16,4040485.25,375154.8125,0.3546,3
553.95,2078.4504,512.7922,80.16,4053213.25,375154.8125,0.3572,3
554.1,2059.4443,500.2435,80.16,4117089.75,375154.8125,0.3691,3
554.25,2063.4885,499.7514,78.3616,4129028.5,375154.8125,0.3665,3
554.4,2068.0559,503.6032,78.0855,4106549.25,318563.6875,0.3637,3
554.55,2080.5374,511.3797,78.0855,4068572.25,247328.5469,0.3559,3
554.7,2103.8906,522.5933,78.26,4026019.75,235155.7812,0.3413,3
554.85,2121.4238,525.9822,78.3,4033253.25,235155.7812,0.3304,3
555.0,2115.1592,526.3757,78.3,4018346.75,235155.7812,0.3343,3
555.15,2113.9038,527.7363,75.9984,4005612.0,235155.7812,0.3351,3
555.3,2107.293,532.9735,74.2579,3953988.0,235155.7812,0.3392,3
555.45,2086.8113,538.1593,71.1614,3877829.5,235155.7812,0.352,3
555.6,2060.4692,540.0221,66.9648,3815544.0,235155.7812,0.3685,3
555.75,2055.2036,539.9185,64.2451,3806509.25,235155.7812,0.3717,3
555.9,2040.6798,536.5298,63.6325,3803462.5,235155.7812,0.3808,3
556.05,2025.6501,532.1286,63.6325,3806708.5,235155.7812,0.3902,3
556.2,2035.5265,528.9669,63.6325,3848184.75,235155.7812,0.384,3
556.35,2065.9663,527.0112,63.6325,3920213.25,235155.7812,0.365,3
556.5,2115.2905,526.0759,63.3353,4020914.0,235155.7812,0.3342,3
556.65,2135.5046,523.6533,62.8628,4078128.5,235155.7812,0.3215,3
556.8,2129.8513,518.8525,62.5394,4105003.75,235155.7812,0.3251,3
556.95,2118.5142,517.1823,60.9362,4096280.75,235155.7812,0.3321,3
557.1,2101.4636,517.5887,58.4818,4060101.5,235155.7812,0.3428,3
557.25,2085.4207,527.755,57.4384,3952952.5,235155.7812,0.3529,3
557.4,2066.9189,540.5661,57.4384,3824005.5,235155.7812,0.3644,3
557.55,2035.9818,542.7449,57.8528,3751194.75,235155.7812,0.3838,3
557.7,2002.7349,538.5045,60.8195,3719024.0,235155.7812,0.4045,3
557.85,2010.223,528.0181,65.8489,3808689.75,235155.7812,0.3999,3
558.0,2055.9675,512.1783,68.4372,4015815.0,235155.7812,0.3713,3
558.15,2088.1047,499.8944,68.4372,4177541.75,207834.75,0.3512,3
558.3,2103.385,493.2505,66.5514,4264476.0,117828.3516,0.3416,3
558.45,2118.5605,493.9588,62.7227,4289055.5,44485.6875,0.3321,3
558.6,2123.2354,502.2801,60.0339,4227692.0,44485.6875,0.3292,3
558.75,2110.2693,509.9099,57.6727,4138653.25,44485.6875,0.3373,3
558.9,2098.2625,516.8215,53.1428,4060467.5,44485.6875,0.3448,3
559.05,2066.1726,522.2134,47.6445,3956403.5,44485.6875,0.3649,3
559.2,2015.3667,518.0273,45.6684,3890441.25,44485.6875,0.3966,3
559.35,1975.295,515.7082,45.6168,3830481.75,44485.6875,0.4217,3
559.5,1925.7228,517.8344,45.6168,3718801.0,44485.6875,0.4526,3
559.65,1949.7198,517.2207,46.5157,3769722.5,44485.6875,0.4377,3
559.8,2008.5356,515.0124,49.0248,3900014.5,44485.6875,0.4009,3
559.95,2002.6738,508.0296,49.7512,3942608.25,44485.6875,0.4046,3
560.1,1984.9958,494.8567,49.8235,4011259.25,44485.6875,0.4157,3
560.25,1976.8796,493.6408,50.1709,4004740.75,44485.6875,0.4207,3
560.4,1946.7881,497.2517,50.8366,3915658.25,44485.6875,0.4395,3
560.55,1867.907,505.5183,52.7676,3695492.0,44485.6875,0.4888,3
560.7,1882.3469,517.5624,57.3584,3636973.0,44485.6875,0.4798,3
560.85,1939.8719,516.33,60.908,3757164.5,44485.6875,0.4438,3
561.0,1987.7468,512.3387,62.3056,3879876.5,44485.6875,0.4139,3
561.15,2010.8981,505.3396,68.2345,3979971.75,44485.6875,0.3994,3
561.3,2074.6765,494.8706,69.9176,4192356.25,44485.6875,0.3596,3
561.45,2095.446,501.3823,71.4237,4180069.75,44485.6875,0.3466,3
561.6,2101.8923,524.3492,71.2875,4008787.75,44485.6875,0.3426,3
561.75,2103.7397,538.3187,69.7083,3908051.25,44485.6875,0.3414,3
561.9,2098.3958,546.8873,69.473,3837096.0,44485.6875,0.3448,3
562.05,2092.6086,559.3565,69.3615,3741190.0,42901.2383,0.3483,3
562.2,2104.468,546.1841,69.239,3853062.0,-2971.1553,0.341,3
562.35,2116.803,536.0107,69.3658,3949181.75,-42209.5078,0.3332,3
562.5,2123.8,521.1532,69.4783,4075193.5,-42209.5078,0.3289,3
562.65,2122.6162,517.3525,68.2081,4102845.5,-42209.5078,0.3296,3
562.8,2109.4536,516.1852,68.1908,4086621.0,-42209.5078,0.3378,3
562.95,2087.9253,515.1686,67.879,4052894.0,-42209.5078,0.3513,3
563.1,2078.3137,517.7326,62.5845,4014274.25,-42209.5078,0.3573,3
563.25,2009.7872,518.2378,60.4693,3878125.0,-42209.5078,0.4001,3
563.4,2005.895,518.6986,55.7823,3867168.75,-42209.5078,0.4025,3
563.55,1970.4465,520.3807,55.3163,3786580.0,-42209.5078,0.4247,3
563.7,1981.192,520.306,55.3163,3807746.0,-42209.5078,0.418,3
563.85,1987.4969,517.5151,55.7214,3840487.25,-42209.5078,0.414,3
564.0,1997.4404,514.9379,55.7909,3879019.0,-42209.5078,0.4079,3
564.15,2008.7896,512.3578,55.7909,3920708.75,-42209.5078,0.4008,3
564.3,2024.6763,508.7962,51.9969,3979421.5,-42209.5078,0.3908,3
564.45,1986.3334,508.4004,51.0881,3907040.75,-42209.5078,0.4148,3
564.6,1979.0576,516.9037,51.0881,3828944.5,-42209.5078,0.4194,3
564.75,2028.6057,527.9915,52.8689,3841966.75,-42209.5078,0.3884,3
564.9,2054.5754,539.8366,55.5518,3806180.0,-42209.5078,0.3722,3
565.05,2039.5884,547.3654,56.6038,3726388.25,-42209.5078,0.3815,3
565.2,2008.1992,540.8092,56.9471,3713391.75,-42209.5078,0.4012,3
565.35,1967.8792,525.2885,57.7242,3746577.5,-42209.5078,0.4264,3
565.5,1969.0221,512.8518,58.5435,3839879.5,-42209.5078,0.4256,3
565.65,1991.2365,514.0494,59.2395,3873647.25,-42209.5078,0.4117,3
565.8,2032.99,517.5686,59.4663,3927887.0,-42209.5078,0.3856,3
565.95,2075.9976,521.5784,59.4663,3980142.25,-43455.9609,0.3587,3
566.1,2124.7632,517.4154,59.4663,4107343.75,-49833.3633,0.3282,3
566.25,2134.5334,507.2025,60.252,4208687.5,-53397.0625,0.3222,3
566.4,2094.8206,511.6121,63.0943,4096121.25,-53397.0625,0.347,3
566.55,2073.1235,521.2858,64.8065,3977078.75,-53397.0625,0.3605,3
566.7,2080.2976,526.2202,64.8663,3953296.5,-53397.0625,0.356,3
566.85,2092.687,528.4272,64.7927,3960211.25,-53397.0625,0.3483,3
567.0,2099.5283,521.3912,64.0255,4027550.0,-53397.0625,0.344,3
567.15,2094.3196,510.5325,62.5182,4102385.0,-53397.0625,0.3473,3
567.3,2089.2817,506.6869,61.6826,4123417.5,-53397.0625,0.3505,3
567.45,2088.1541,508.1813,61.6826,4109120.0,-53397.0625,0.3511,3
567.6,2101.75,509.323,61.6826,4126592.25,-53397.0625,0.3426,3
567.75,2118.2683,510.3148,61.6826,4150969.75,-53397.0625,0.3324,3
567.9,2101.0459,512.9979,59.4124,4095687.25,-53397.0625,0.3431,3
568.05,2082.4695,514.7313,56.363,4045751.0,-53397.0625,0.3547,3
568.2,2083.0247,515.2559,56.363,4042705.75,-53397.0625,0.3544,3
